,length,mean,median,std,iqr,wins,losses,zero,total,wins/losses,a_r_mean,a_r_median,a_r_std
0,1,5.290505144075205,4.348473876153259,19.237762046893522,25.217501662506482,820,571,1,1392,1.436077057793345,5.29050514407521,4.348473876153257,19.237762046893522
1,2,10.88046140183977,8.838156475338154,27.357216938271737,35.93481086059599,888,504,0,1392,1.7619047619047619,5.3909111357999935,4.534606205250547,19.254235785633618
2,3,16.34027061198102,12.069753284609043,33.198215747814075,44.02406498201199,911,480,1,1392,1.8979166666666667,5.460373918688902,4.694183531673488,19.256339981450832
3,5,28.83527441898754,22.148072716794776,47.102257171190004,63.46399687735911,962,430,0,1392,2.2372093023255815,5.592927771617151,4.966841477288497,19.256792581548417
4,10,65.9754448372893,38.94522691705794,78.83745032995796,123.17694876997362,1087,303,2,1392,3.5874587458745872,5.844566346128903,5.63106796116503,19.13190026434819
5,20,209.4750032246652,99.00785895809955,251.19845061060843,289.98611205996446,1285,107,0,1392,12.009345794392523,6.222438443851752,6.291560102301787,19.153091222277762
6,30,424.757042817158,301.84706859662856,394.02074745596445,598.2408966204343,1365,27,0,1392,50.55555555555556,6.452956364551891,6.979280261723048,19.26674675972431
