,length,mean,median,std,iqr,wins,losses,zero,total,wins/losses,a_r_mean,a_r_median,a_r_std
0,1,10.516825315457535,9.395100259929745,19.971342228034604,26.51745526861772,965,427,0,1392,2.259953161592506,10.516825315457526,9.395100259929748,19.971342228034604
1,2,22.080539841612527,19.364235445690582,29.563548583207982,38.54257958411911,1081,311,0,1392,3.4758842443729905,10.609642261438568,9.636220414341238,19.984946492870783
2,3,34.3254264793397,27.830851381527843,37.564084957395956,47.589381988924345,1178,214,0,1392,5.5046728971962615,10.666869818679382,9.714138200934421,19.9882906687347
3,5,63.56442862051994,54.4139872194297,59.16482176592861,76.03026898591764,1260,132,0,1392,9.545454545454545,10.772366117488096,10.050809495662385,19.992476079277882
4,10,165.02106752846856,125.96954126589767,122.38798348068872,187.0032364925392,1364,28,0,1392,48.714285714285715,10.952859526972608,10.201742832810545,19.869998500195944
5,20,630.0309592700384,367.40956676467795,509.6570840955059,565.1000632957619,1392,0,0,1392,inf,11.181113709174555,10.708088722017415,19.873171500157923
6,30,1679.9525546524253,1587.3216460588287,1054.2134541528364,1405.8971276430057,1392,0,0,1392,inf,11.28631907078057,11.222644323326278,19.993146224041947
