,length,mean,median,std,iqr,wins,losses,zero,total,wins/losses,a_r_mean,a_r_median,a_r_std
0,1,5.729127983403662,6.349176056575856,10.984150866741048,13.484703452353004,1300,482,0,1782,2.6970954356846475,5.729127983403657,6.349176056575857,10.984150866741048
1,2,11.495413180878385,11.865974726403262,16.123709259808262,20.624202864769337,1375,395,0,1770,3.481012658227848,4.74518764159009,4.281004421878151,16.00708612781083
2,3,17.525397136893318,17.955291138954554,19.97704319390407,24.40147271411503,1446,312,0,1758,4.634615384615385,4.162689580917459,2.922719559239063,19.19094955702158
3,5,30.939820217218845,27.997952047056827,28.937449961361548,34.26262609121501,1520,214,0,1734,7.102803738317757,3.741259117540777,1.4731035316068741,22.74008168978476
4,10,72.03789460727918,60.705789211236116,53.182649501884306,69.58301923789841,1629,45,0,1674,36.2,3.5599391119672235,0.08578921464999212,26.97164087364485
5,20,215.84848768599988,157.59611921387082,153.82682281586426,195.63274366557448,1553,1,0,1554,1553.0,3.7090487062446145,-0.9263734395448253,30.4900379400404
6,30,517.4198764324492,405.8756406218745,321.78581276316555,455.38853332980443,1434,0,0,1434,inf,3.858686637296154,-1.2840891005391342,32.336297863436265
