,length,mean,median,std,iqr,wins,losses,zero,total,wins/losses,a_r_mean,a_r_median,a_r_std
0,1,2.771859269793222,3.0623873553680014,11.183018184366592,13.878883913765785,838,554,0,1392,1.5126353790613718,2.77185926979322,3.0623873553680028,11.183018184366592
1,2,5.69182011538353,5.21435462638723,15.938736531489976,21.33970221940325,860,532,0,1392,1.6165413533834587,2.7614146827857144,1.8079279543877078,16.48192643867734
2,3,8.536097331441711,8.061265379111159,18.91865808975235,24.245239352472574,927,465,0,1392,1.9935483870967743,2.7798526773498935,1.1697866743834027,19.89647321871454
3,5,14.70629536144841,12.123215626318839,25.079818969233123,31.37074757321679,1008,384,0,1392,2.625,2.963986233090582,0.5021897640662232,23.60974828818697
4,10,32.2761145675732,24.160168805500426,39.117554908155725,54.95122415472687,1095,297,0,1392,3.686868686868687,3.2486894715366383,-0.4020184590793434,27.71105733300368
5,20,90.13024686110256,56.09560696256871,96.13114152147543,137.61603874594329,1219,173,0,1392,7.046242774566474,3.555289160105627,-1.0670631970978093,30.8751015450396
6,30,171.9228917387224,127.48261532553886,155.5278008986755,211.08472658920402,1338,54,0,1392,24.77777777777778,3.7503950951683556,-1.41612799576248,32.523667120834524
